sample,date,upstream,downstream
1,01/08/2008 11:15,2909,2359
2,02/04/2008 10:30,2382,3873
3,03/03/2008 10:48,2046,1725
4,04/08/2008 10:25,1483,771
5,05/09/2008 11:19,4611,1529
6,06/09/2008 10:10,3448,2909
7,08/04/2008 10:30,4106,2014
8,12/04/2008 13:40,2755,1872
9,12/09/2008 10:30,3448,2481
10,01/06/2009 11:06,2098,613.1
11,2/19/2009 11:00,789,733
12,2/26/2009 11:30,988,960
13,03/12/2009 11:10,1187,833
14,3/24/2009 11:00,638,388
15,04/07/2009 10:06,2481,1421
16,4/28/2009 10:20,2481,933
17,05/04/2009 11:23,3654,1076
18,5/19/2009 10:38,3130,1374
19,06/10/2009 10:50,4611,1553
20,6/23/2009 10:53,2755,1198
21,07/07/2009 09:30,3076,1299.7
